e:\ytison\documents\recherche\kalpha\mg-ionmtp-2015\bisb-electrolyte\x-ray005 400um - fg  on\sb-electrolyte-1\avg\sb-electrodemouilleev2.vms
C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	2.5
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C 1s_1_C1s Scan	C 1s_2_C1s Scan	C 1s_3_C1s Scan	C 1s_4_C1s Scan	C 1s_5_C1s Scan	C1s_6_C1s Scan	C1s_7_C1s Scan	Background_C1s Scan	Envelope_C1s Scan
1194.5	292.18	1111.98	940.017	940.017	1042.89	940.017	940.017	940.017	940.017	940.017	1042.89
1194.6	292.08	1188.7	939.289	939.289	1079.58	939.289	939.289	939.289	939.289	939.289	1079.58
1194.7	291.98	1214.17	938.484	938.484	1126.72	938.484	938.484	938.484	938.485	938.484	1126.72
1194.8	291.88	1250.69	937.571	937.571	1185.97	937.571	937.571	937.571	937.572	937.571	1185.97
1194.9	291.78	1318.52	936.456	936.456	1259.11	936.456	936.456	936.456	936.458	936.456	1259.12
1195	291.68	1356.06	935.228	935.228	1346.73	935.228	935.228	935.228	935.232	935.228	1346.73
1195.1	291.58	1413.16	933.829	933.829	1450.03	933.829	933.829	933.829	933.837	933.829	1450.03
1195.2	291.48	1550.21	932.025	932.025	1567.1	932.025	932.025	932.025	932.04	932.025	1567.11
1195.3	291.38	1623.68	930	930	1696.69	930	930	930	930.028	930	1696.72
1195.4	291.28	1762.46	927.564	927.564	1834.36	927.564	927.564	927.564	927.613	927.564	1834.41
1195.5	291.18	1886.7	924.757	924.757	1974.79	924.757	924.757	924.757	924.841	924.757	1974.88
1195.6	291.08	2067.03	921.414	921.414	2110.47	921.414	921.414	921.414	921.556	921.414	2110.61
1195.7	290.98	2162.57	917.781	917.781	2233.66	917.781	917.781	917.781	918.021	917.781	2233.9
1195.8	290.88	2298.72	913.739	913.739	2334.63	913.739	913.74	913.739	914.133	913.739	2335.02
1195.9	290.78	2392.31	909.412	909.412	2406.88	909.412	909.412	909.412	910.052	909.412	2407.52
1196	290.68	2469.6	904.846	904.846	2442.35	904.846	904.846	904.846	905.87	904.846	2443.38
1196.1	290.58	2454.32	900.311	900.311	2439.63	900.311	900.312	900.311	901.921	900.311	2441.24
1196.2	290.48	2417.63	895.87	895.87	2397.47	895.87	895.873	895.87	898.376	895.87	2399.98
1196.3	290.38	2252.54	891.899	891.899	2319.96	891.899	891.905	891.899	895.724	891.899	2323.79
1196.4	290.28	2192.58	888.092	888.092	2212.98	888.092	888.103	888.092	893.874	888.092	2218.78
1196.5	290.18	2029.97	884.75	884.75	2084.23	884.75	884.77	884.75	893.33	884.75	2092.83
1196.6	290.08	1898.64	881.783	881.783	1942.97	881.783	881.818	881.783	894.351	881.783	1955.57
1196.7	289.98	1746.4	879.252	879.252	1797.22	879.252	879.314	879.252	897.377	879.252	1815.4
1196.8	289.88	1701.67	876.845	876.845	1654.15	876.845	876.951	876.845	902.579	876.845	1679.98
1196.9	289.78	1510.8	874.99	874.99	1520.02	874.99	875.172	874.99	911.024	874.99	1556.24
1197	289.68	1435.06	873.351	873.351	1398.26	873.351	873.657	873.351	922.931	873.351	1448.15
1197.1	289.58	1342.15	871.979	871.979	1291.22	871.979	872.488	871.979	939.318	871.979	1359.07
1197.2	289.48	1336.17	870.62	870.621	1199.67	870.62	871.454	870.62	960.44	870.62	1290.33
1197.3	289.38	1247.15	869.518	869.52	1123.1	869.518	870.861	869.518	987.552	869.518	1242.48
1197.4	289.28	1263.84	868.364	868.369	1060.87	868.364	870.502	868.364	1020.76	868.364	1215.41
1197.5	289.18	1232.94	867.297	867.306	1010.82	867.298	870.634	867.297	1060.71	867.297	1207.58
1197.6	289.08	1312.57	865.994	866.013	971.509	865.995	871.16	865.994	1107.11	865.994	1217.81
1197.7	288.98	1236.13	864.911	864.948	941.176	864.913	872.752	864.911	1159.8	864.911	1243.95
1197.8	288.88	1349.48	863.492	863.564	917.811	863.496	875.258	863.492	1217.27	863.492	1283.43
1197.9	288.78	1358.72	862.043	862.18	900.156	862.05	879.408	862.043	1277.72	862.043	1333.34
1198	288.68	1394.92	860.483	860.739	886.788	860.497	885.736	860.483	1338.49	860.483	1390.32
1198.1	288.58	1404.86	858.89	859.358	876.824	858.916	895.1	858.89	1396.35	858.89	1450.99
