e:\ytison\documents\recherche\kalpha\mg-ionmtp-2015\bisb-brut\x-ray009 400um - fg  on\point 1 sb5bi5\avg\bi50sb50 electrode_v5.vms
C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	2.5
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C 1s_1_C1s Scan	C 1s_2_C1s Scan	C 1s_3_C1s Scan	C 1s_4_C1s Scan	C 1s_5_C1s Scan	C 1s_6_C1s Scan	C1s_7_C1s Scan	Background_C1s Scan	Envelope_C1s Scan
1194.2	292.48	1318.82	1032.69	1032.69	1251.22	1032.69	1032.69	1032.69	1032.69	1032.69	1251.22
1194.3	292.38	1409.31	1031.82	1031.82	1328.29	1031.82	1031.82	1031.82	1031.82	1031.82	1328.29
1194.4	292.28	1504.6	1030.74	1030.74	1426.9	1030.74	1030.74	1030.74	1030.74	1030.74	1426.9
1194.5	292.18	1634.69	1029.35	1029.35	1550.69	1029.35	1029.35	1029.35	1029.35	1029.35	1550.69
1194.6	292.08	1781.44	1027.62	1027.62	1702.92	1027.62	1027.62	1027.62	1027.63	1027.62	1702.93
1194.7	291.98	1921.16	1025.57	1025.57	1886.28	1025.57	1025.57	1025.57	1025.58	1025.57	1886.29
1194.8	291.88	2171.88	1022.94	1022.94	2101.63	1022.94	1022.94	1022.94	1022.95	1022.94	2101.63
1194.9	291.78	2318.13	1019.97	1019.97	2348.53	1019.97	1019.97	1019.97	1019.98	1019.97	2348.54
1195	291.68	2600.47	1016.34	1016.34	2623.13	1016.34	1016.34	1016.34	1016.36	1016.34	2623.15
1195.1	291.58	2883.07	1012.05	1012.05	2918.8	1012.05	1012.05	1012.05	1012.09	1012.05	2918.83
1195.2	291.48	3132.1	1007.19	1007.19	3225.35	1007.19	1007.19	1007.19	1007.24	1007.19	3225.4
1195.3	291.38	3484.35	1001.5	1001.5	3528.72	1001.5	1001.5	1001.5	1001.6	1001.5	3528.82
1195.4	291.28	3704.35	995.295	995.295	3812.89	995.295	995.296	995.295	995.461	995.295	3813.05
1195.5	291.18	4050.72	988.281	988.281	4059.14	988.281	988.282	988.281	988.558	988.281	4059.42
1195.6	291.08	4212.32	980.879	980.879	4250.78	980.879	980.881	980.879	981.335	980.879	4251.23
1195.7	290.98	4334.84	973.18	973.18	4372.09	973.18	973.182	973.18	973.921	973.18	4372.83
1195.8	290.88	4416.84	965.274	965.274	4413.63	965.274	965.278	965.274	966.458	965.274	4414.82
1195.9	290.78	4390.56	957.41	957.411	4370.68	957.41	957.418	957.41	959.27	957.41	4372.55
1196	290.68	4343.28	949.637	949.638	4247.08	949.637	949.65	949.637	952.523	949.637	4249.98
1196.1	290.58	4159.08	942.269	942.27	4051.69	942.269	942.291	942.269	946.664	942.269	4056.1
1196.2	290.48	3911.45	935.453	935.453	3799.76	935.453	935.49	935.453	942.06	935.453	3806.41
1196.3	290.38	3550.2	929.45	929.451	3508.44	929.45	929.513	929.45	939.226	929.45	3518.28
1196.4	290.28	3266.06	924.086	924.088	3195.98	924.086	924.191	924.086	938.295	924.086	3210.3
1196.5	290.18	2824.7	919.723	919.726	2879.58	919.723	919.896	919.723	940.13	919.723	2900.17
1196.6	290.08	2522.28	916.044	916.049	2573.07	916.044	916.324	916.044	944.823	916.044	2602.14
1196.7	289.98	2224.12	913.041	913.051	2287.63	913.041	913.491	913.041	952.996	913.041	2328.05
1196.8	289.88	1971.57	910.611	910.631	2029.99	910.611	911.325	910.611	965.231	910.611	2085.35
1196.9	289.78	1754.33	908.674	908.71	1804.6	908.674	909.786	908.674	981.995	908.674	1879.07
1197	289.68	1663.67	906.941	907.007	1611.77	906.941	908.664	906.941	1003.86	906.941	1710.47
1197.1	289.58	1541.03	905.485	905.603	1451.23	905.485	908.106	905.485	1031.28	905.485	1579.76
1197.2	289.48	1495.37	904.131	904.337	1319.84	904.131	908.075	904.131	1064.4	904.131	1484.26
1197.3	289.38	1473.91	902.823	903.182	1214.83	902.823	908.681	902.823	1103.38	902.823	1421.6
1197.4	289.28	1471.58	901.517	902.128	1132.01	901.517	910.083	901.517	1147.44	901.517	1387.11
1197.5	289.18	1428.24	900.308	901.338	1068.23	900.308	912.728	900.308	1195.8	900.308	1377.17
1197.6	289.08	1448.79	899.048	900.753	1019.49	899.049	916.761	899.048	1246.49	899.048	1386.35
1197.7	288.98	1450.99	897.781	900.564	983.023	897.781	922.754	897.781	1297.21	897.781	1410.2
1197.8	288.88	1436.06	896.546	901.026	955.945	896.546	931.283	896.546	1344.87	896.546	1443.49
1197.9	288.78	1460.04	895.252	902.339	936.117	895.253	942.856	895.252	1386.27	895.252	1481.83
1198	288.68	1514.6	893.83	904.923	921.507	893.831	958.364	893.83	1418.08	893.83	1521.39
1198.1	288.58	1507.6	892.421	909.444	910.936	892.423	978.531	892.421	1437.41	892.421	1559.06
1198.2	288.48	1582.47	890.837	916.721	903.027	890.841	1004.28	890.837	1442.76	890.837	1594.28
1198.3	288.38	1568.55	889.281	927.912	897.211	889.289	1036.57	889.281	1433.13	889.281	1626.99
1198.4	288.28	1655.41	887.522	944.44	892.598	887.538	1075.86	887.522	1409.38	887.522	1659.72
1198.5	288.18	1679.91	885.703	968.265	888.915	885.733	1123.21	885.703	1373.65	885.703	1696.96
1198.6	288.08	1765.64	883.683	1001.59	885.681	883.74	1178.3	883.683	1328.18	883.683	1742.75
1198.7	287.98	1860.19	881.441	1047.53	882.671	881.545	1241.25	881.441	1276.65	881.441	1803.88
1198.8	287.88	1903.24	879.096	1108.98	879.839	879.283	1311.13	879.096	1222.24	879.096	1885.09
1198.9	287.78	2013.26	876.492	1190.67	876.937	876.826	1386.19	876.492	1167.81	876.492	1992.46
1199	287.68	2103.78	873.674	1295.35	873.936	874.259	1464.19	873.674	1115.67	873.674	2128.71
1199.1	287.58	2336.9	870.315	1428.02	870.467	871.318	1541.52	870.315	1067.35	870.315	2297.41
1199.2	287.48	2514.9	866.54	1591.38	866.627	868.235	1614.3	866.54	1023.82	866.54	2498.2
1199.3	287.38	2735.43	862.249	1788.47	862.298	865.072	1678.28	862.249	985.408	862.249	2730.53
1199.4	287.28	3012.25	857.313	2020.22	857.341	861.926	1729.13	857.313	952.12	857.313	2991.48
1199.5	287.18	3245.99	851.83	2284.58	851.845	859.228	1762.57	851.83	923.462	851.83	3274.37
1199.6	287.08	3543.84	845.65	2577.95	845.658	857.341	1776.52	845.65	898.904	845.65	3573.77
1199.7	286.98	3826.63	838.806	2890.7	838.81	856.993	1768.41	838.806	877.748	838.806	3877.44
1199.8	286.88	4173.44	831.151	3211.01	831.153	858.923	1739.01	831.151	859.112	831.151	4174.61
1199.9	286.78	4379.68	823.004	3522.71	823.005	864.646	1690.12	823.004	842.829	823.004	4451.29
1200	286.68	4656.28	814.204	3806.44	814.205	875.683	1624.12	814.204	828.009	814.204	4691.64
1200.1	286.58	4921.56	804.775	4042.36	804.775	894.034	1545.57	804.775	814.238	804.775	4881.88
1200.2	286.48	5039.8	795.052	4212.9	795.053	922.263	1458.58	795.052	801.45	795.052	5010.03
1200.3	286.38	5085.28	785.203	4301.43	785.203	963.175	1367.91	785.203	789.449	785.203	5066.35
1200.4	286.28	5065.12	775.378	4303.49	775.378	1020.2	1277.45	775.378	778.162	775.378	5053.17
1200.5	286.18	5024	765.624	4212.52	765.624	1096.27	1190.47	765.626	767.419	765.624	4969.81
1200.6	286.08	4876	756.188	4041.32	756.188	1194.04	1109.32	756.193	757.325	756.188	4833.45
1200.7	285.98	4773.24	746.967	3799.39	746.966	1315.29	1035.82	746.978	747.679	746.966	4657.29
1200.8	285.88	4496.88	738.365	3507.23	738.357	1461.55	970.76	738.386	738.795	738.357	4463.3
1200.9	285.78	4261.32	730.317	3183.79	730.269	1631.02	914.366	730.336	730.535	730.269	4269.01
1201	285.68	4073.88	722.839	2848.53	722.593	1819.35	866.346	722.742	722.752	722.593	4089.6
1201.1	285.58	3831.64	716.581	2518.32	715.456	2019.84	825.916	715.774	715.549	715.456	3934.7
1201.2	285.48	3729.16	713.146	2206.98	708.537	2222	792.393	709.198	708.591	708.537	3809.63
1201.3	285.38	3562.23	718.922	1922.71	701.986	2412.78	764.679	703.316	702.017	701.986	3714.49
1201.4	285.28	3542.02	751.301	1672.26	695.466	2577.69	741.704	698.052	695.483	695.466	3659.15
1201.5	285.18	3673.08	853.756	1455.89	688.63	2702.42	722.309	693.492	688.64	688.63	3673.36
1201.6	285.08	3907.83	1118.83	1273.78	681.24	2773.34	705.38	690.077	681.245	681.24	3836.44
1201.7	284.98	4511.92	1708.73	1122.49	672.446	2782.82	689.589	687.975	672.448	672.446	4301.82
1201.8	284.88	5414.88	2843.07	997.59	661.558	2728.89	673.543	687.937	661.56	661.558	5284.8
1201.9	284.78	6980.4	4691.63	894.366	647.052	2614.13	655.326	690.436	647.053	647.052	6957.68
1202	284.68	9021.4	7138.73	806.585	627.827	2445.67	633.471	696.697	627.827	627.827	9209.85
1202.1	284.58	11379.4	9537	730.804	603.144	2237.26	606.93	708.569	603.144	603.144	11408
1202.2	284.48	12516.3	10836.6	665.343	575.795	2006.22	578.317	731.219	575.795	575.795	12514.5
1202.3	284.38	11982.6	10315.5	611.603	549.608	1770.08	551.259	769.916	549.608	549.608	11819.9
1202.4	284.28	9660.96	8259.72	570.933	528.691	1545.13	529.76	828.28	528.691	528.691	9619.05
1202.5	284.18	6751.12	5683.09	542.754	514.406	1341.67	515.09	904.223	514.406	514.406	6929.2
1202.6	284.08	4580.64	3479.85	523.847	505.071	1163.6	505.5	988.706	505.071	505.071	4641.22
1202.7	283.98	3118.61	1997.54	511.28	499.071	1012.13	499.339	1069.26	499.071	499.071	3093.26
1202.8	283.88	2296.12	1163.26	502.811	494.945	887.109	495.11	1131.83	494.945	494.945	2200.33
1202.9	283.78	1802.56	757.705	496.91	491.943	785.875	492.043	1164.35	491.943	491.943	1729.11
1203	283.68	1458.99	584.365	492.829	489.723	705.79	489.783	1159.86	489.723	489.723	1473.74
1203.1	283.58	1276.75	518.158	489.823	487.917	643.722	487.952	1118.39	487.917	487.917	1306.38
1203.2	283.48	1124.59	495.128	487.61	486.455	597.055	486.476	1046.95	486.455	486.455	1167.4
1203.3	283.38	951.672	487.619	486.077	485.387	562.476	485.399	957.707	485.387	485.387	1037.73
1203.4	283.28	872.916	485.013	484.902	484.497	537.247	484.504	862.959	484.497	484.497	916.635
1203.5	283.18	769.476	483.95	484.078	483.843	519.278	483.847	773.132	483.843	483.843	808.912
1203.6	283.08	752.368	483.246	483.36	483.227	506.711	483.229	694.809	483.227	483.227	718.449
1203.7	282.98	733.688	482.655	482.727	482.652	497.935	482.653	631.108	482.652	482.652	646.471
1203.8	282.88	699.712	482.154	482.195	482.153	491.917	482.154	582.362	482.153	482.153	592.169
1203.9	282.78	649.604	481.769	481.792	481.769	487.894	481.769	546.982	481.769	481.769	553.13
1204	282.68	635.152	481.417	481.429	481.417	485.213	481.417	522.358	481.417	481.417	526.166
1204.1	282.58	614.832	481.11	481.117	481.11	483.42	481.111	505.927	481.11	481.11	508.243
1204.2	282.48	593.128	480.853	480.857	480.853	482.232	480.853	495.385	480.853	480.853	496.767
1204.3	282.38	574.976	480.637	480.639	480.637	481.445	480.637	488.86	480.637	480.637	489.669
1204.4	282.28	538.132	480.505	480.506	480.505	480.973	480.505	485.002	480.505	480.505	485.471
